spotify_track_id,release_date_raw
5Pg4qYTcvCUBBq3jBhKq0t,2022-03-25
48QmG1dfvMuYLxMPt7KSRA,2018-06-29
0k2GOhqsrxDTAbFFSdNJjT,2005-09-27
58dGRQrNmAJeRMFuguUbvD,2021-08-06
6bK9BH9Ts8Gj5JFvnQkzak,2022-11-11
1zZIGnXIcDKU8QIUkR20nK,2012-01-24
6YB6CK4Tsb0BgtxCEL9KlI,2005-09-27
6k8uthjEbttfWXcGaNTQGD,2006-11-07
5lJx5eiSahFfsqkMJVlkDN,2022-11-11
2ykXJ9QVwx9Li8nsW0h6b2,2021-12-17
37eGbhE1xVFSvcKkqGb6i1,2019-03-14
44AyOl4qVkzS48vBsbNXaC,1961-10-20
3QiAAp20rPC3dcAtKtMaqQ,1957-10-15
7n7VsX3sv66znBwA8b5uhp,1957-10-15
1H5IfYyIIAlgDX8zguUzns,1969-06-17
7zMUCLm1TN9o9JlLISztxO,1973-07-16
1B5Tp2Ml9nLlmTSJx8xVfI,1973-07-16
3C6pSIVeBKIbSpCFtaw1r8,2022-06-24
452KBpASS5lZLeJWX9Ixub,1997-07-15
7KWoeBqSdZHEloYKVxssfG,1969-06-17
1GEGKdhnYoQYZ2cvbo5XPM,2022-02-18
0Z2J91b2iTGLVTZC4fKgxf,1998-01-01
5g9lS8deSIxItFBmZRC4vN,1996-02-13
3ia3dJETSOllPsv3LJkE35,1998-01-01
4VQNCzfZ3MdHEwwErNXpBo,1996-02-13
4AE7Lj39VnSZNOmGH2iZaq,1997-01-01
1ofhfV90EnYhEr7Un2fWiv,1998-01-01
6tDxrq4FxEL2q15y37tXT9,1995-03-14
0XRbYXQUymj9SJkrr8YK5B,1993-02-16
6LwrEZNkvFTOypNwSLjuaJ,1996-02-13
7rUchbZxrhF29Q0vYjKEU0,1996-02-13
0xzI1KAr0Yd9tv8jlIk3sn,2022-08-05
6YbhspuOar1D9WSSnfe7ds,2011-12-12
2NBQmPrOEEjA8VbeWOQGxO,2004-01-01
3i1B1PnsfnOQPGVIzhf1lr,2017-12-15
6CPAznSrkDmiPBgLXoi00f,2022-08-05
0R7YVi7w41Dr9jU5vblAok,2011-01-01
7FrJV8tydWEv1Mxu2mIQrm,2002-01-01
2yGk5A4oipC4jvDLIVlQIJ,2020-06-05
2RxC2peY3FtrurYmbbmanr,2020-05-01
0RcYEWXtbu4ehdv1tiBOi0,2007-01-01
2XHzzp1j4IfTNp1FTn7YFg,2013-01-01
4dASQiO1Eoo3RJvt74FtXB,2016-06-24
5hUYsaOyMY32yjRXeuQwGj,2011-08-29
5UsLjwBaTHBX4ektWIr4XX,2009-05-15
5Qy6a5KzM4XlRxsNcGYhgH,2011-08-29
1pm7lQGl6mvKWDxesZTVFp,2008-01-01
1xPW9rS8dkuJP46WBTqU2C,2008-01-01
3vWzyGTu6Ovo1GdrcJqH6e,2018-12-14
1kMuU3TNQvHbqvXCWBodmP,2010-01-01
7uoFMmxln0GPXQ0AcCBXRq,2018-11-01
1yvMUkIOTeUNtNWlWRgANS,2016-10-21
2s1sdSqGcKxpPr5lCl7jAV,2015-05-04
3e7sxremeOE3wTySiOhGiP,2018-12-14
3S4px9f4lceWdKf0gWciFu,2016-10-21
4xigPf2sigSPmuFH3qCelB,2019-04-12
5S9lfZu1YF8xKkgSsqL2Bd,2015-05-04
0F3v8p8ZnEGtZDxNcJ5Klq,2022-07-08
5cpJFiNwYyWwFLH0V6B3N8,2020-09-04
1N1ZpYUJc9fwrqk53FGgWv,2018-11-01
0ofHAoxe9vBkTCp2UQIavz,1977-02-04
5e9TFTbltYBg2xThimr0rU,1977-02-04
254bXAqt3zP6P50BdQvEsq,1987-04-13
07GvNcU1WdyZJq3XxP0kZa,1977-02-04
5ihS6UUlyQAfmp48eSkxuQ,1975-07-11
4bEb3KE4mSKlTFjtWJQBqO,1977-02-04
4CoSCPlKNrWli7E5kFtbcl,1987-04-13
05oETzWbd4SI33qK2gbJfR,1975-07-11
19Ym5Sg0YyOCa6ao21bdoG,1988-11-21
19Shlms2uTnOjIUg50TXzd,1977-02-04
0GjEhVFGZW8afUYGChu3Rr,1976
3vkQ5DAB1qQMYO4Mr9zJN6,1979
2TxCwUlqaOH3TIyJqGgR91,1975
7rWgGyRK7RAqAAXy4bLft9,1979
3oEkrIfXfSh9zGnE7eBzSV,1980
5BckPAYcKEJuYs1eV1BHHe,1977
4euAGZTszWPrriggYK0HG9,1980
